,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
218,K2-133 c,1.0,4.86784,1.603,3.724948648648649,3655.0,0.46,4.415135135135135,25.0098135
219,K2-133 d,1.0,11.0234,2.02,0.19,3655.0,0.47,4.415135135135136,25.0098135
220,K2-133 e,1.0,26.5841,1.73,0.0987,3655.0,0.46,4.415135135135136,25.0098135
221,K2-136 b,1.0,7.9757,1.05,3.824762162162162,4359.0,0.72,4.54,22.8825674
222,K2-136 c,1.0,17.30681,3.14,3.824762162162162,4359.0,0.72,4.54,22.8825674
223,K2-136 d,1.0,25.575065,1.45,3.824762162162162,4499.0,0.66,4.66,22.8825674
224,K2-137 b,1.0,0.179715,0.89,0.6377729729729729,3492.0,0.44,4.82,-6.1952168
225,K2-138 b,1.0,2.35322,1.57,3.81255945945946,5378.0,0.86,4.59,-10.8497391
226,K2-138 c,1.0,3.56004,2.299,3.81255945945946,5356.3,0.86,4.54,-10.8497391
227,K2-138 d,1.0,5.40484,2.46,3.81255945945946,5283.0,0.84,4.54,-10.8497391
228,K2-138 e,1.0,8.26147,3.11,3.81255945945946,5283.0,0.84,4.54,-10.8497391
229,K2-138 f,1.0,12.75758,2.904,3.81255945945946,5356.3,0.86,4.54,-10.8497391
230,K2-138 g,1.0,41.96645,3.18,3.81255945945946,5283.0,0.84,4.54,-10.8497391
231,K2-139 b,1.0,28.382206,9.5,3.824762162162163,5694.389999999999,0.93,4.323783783783783,-17.9107147
232,K2-14 b,1.0,8.36802,4.81,0.943,3789.0,0.45,4.554324324324325,2.5941222
233,K2-140 b,1.0,6.5693,12.274,0.8389837837837838,5654.0,0.99,4.45,-9.6076115
234,K2-141 b,1.0,0.2803244,1.51,3.8247621621621612,4599.0,0.68,4.62,-1.1891827
235,K2-141 c,1.0,7.7485,7.0,3.8247621621621612,4599.0,0.68,4.62,-1.1891827
236,K2-147 b,1.0,0.961917,1.38,2.764910810810811,3672.0,0.55,4.72,-28.498475
237,K2-148 b,1.0,4.38395,1.33,3.8044810810810814,4079.0,0.63,4.65,-0.193258
238,K2-148 c,1.0,6.92251,0.9,0.0537,5699.741351351351,0.37,4.380810810810812,-0.193258
239,K2-148 d,1.0,9.7579,1.64,3.8044810810810814,4079.0,0.63,4.65,-0.193258
240,K2-149 b,1.0,11.332,1.64,3.800924324324324,3745.0,0.57,4.71,7.2769939
241,K2-15 b,1.0,11.81004,3.08,0.1329,5574.278648648648,0.8,4.468378378378379,4.2546649
242,K2-150 b,1.0,10.59366,1.71,0.21,5625.417027027027,0.36,4.482702702702702,8.9874328
