,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
192,K2-308 b,1,1.0,3.38628,9.916,1681.8105263157895,88.44,0.21,188950.77157894737,3.09,7.94,0.0742,6100.0,1.24,1.09,-0.1,3.94,16.4141986,14.752
193,K2-315 b,1,1.0,3.1443189,0.95,460.0,88.74,0.565,235254.17157894737,0.821,25.72,0.0444,3300.0,0.2,0.17,-0.24,5.09,-20.1081634,14.814
194,K2-32 d,1,4.0,31.71701,3.484,550.0,89.4,0.46,235285.1894736842,4.888,46.02,0.03704,5271.0,0.86,0.83,-0.06,4.49,-19.5430504,12.005
195,K2-32 e,1,4.0,4.34934,1.212,1066.0,89.0,0.22,235285.1894736842,2.671,12.24,0.01294,5271.0,0.86,0.83,-0.06,4.49,-19.5430504,12.005
196,K2-329 b,1,1.0,12.4551225,8.676,650.0,89.22,0.364,213404.4505263158,3.621,26.62,0.09679,5282.0,0.82,0.9,0.098,4.57,-5.1641451,12.463
197,K2-331 c,1,2.0,22.996591,2.72,673.0,79.61326315789475,0.37,245549.87894736842,4.43,37.87,0.0235,5994.0,1.06,1.1,0.08,4.43,13.170269,11.617
198,K2-333 b,1,1.0,14.759287,6.18,826.0,80.78221052631578,0.26,222602.28736842104,4.96,23.06,0.0461,5880.0,1.22,1.06,0.07,4.29,15.2056765,11.982
199,K2-344 b,1,1.0,3.35585,1.59,722.0,80.59968421052633,0.41,245899.39368421052,1.76,13.79,0.0295,4374.0,0.49,0.51,-0.95,4.76,21.6685886,12.731
200,K2-348 c,1,2.0,12.550171,2.67,655.0,81.70042105263158,0.43,200924.2831578947,3.68,24.47,0.0287,5077.0,0.85,0.83,0.13,4.5,24.4229559,12.482
201,K2-35 c,1,2.0,5.60912,2.09,737.0,87.85,0.66,202645.52631578947,2.05,17.4,0.02661,4680.0,0.72,0.76,0.04,4.56,1.2858679,13.917
202,K2-352 d,1,3.0,14.871387,2.23,727.0,82.69941052631579,0.39,199580.3147368421,4.14,25.94,0.0214,5791.0,0.95,0.98,-0.05,4.47,18.469628,11.116
203,K2-354 b,1,1.0,3.793306,1.56,543.0,81.62115789473684,0.24,235003.7105263158,1.53,19.05,0.0353,3669.0,0.41,0.43,-0.04,4.86,10.1472175,14.422
204,K2-52 b,1,1.0,3.535055,18.0,2004.0,86.46,0.32,251104.57157894733,5.328,5.2,0.075,7147.0,2.19,1.69,0.055,3.98,-24.9699462,15.037
205,K2-90 b,1,2.0,13.733314,2.6,502.0,89.24,0.44,204092.03894736842,2.952,33.4,0.038,4484.0,0.62,0.63,-0.225,4.65,22.4724517,13.723
206,TRAPPIST-1 b,1,7.0,1.51087081,1.086,400.0,89.65,0.126,0.7266,0.6067,20.5,0.5622376947368422,2559.0,0.12,0.08,0.04,3.9661473684210526,-5.0434618,12.917
